sample	clade_name	clade_taxid	relative_abundance	estimated_number_of_reads_from_the_clade
ERS11453815	k__Bacteria|p__Atribacterota|c__Atribacterota_unclassified|o__Atribacterota_unclassified|f__Atribacterota_unclassified|g__GGB4172|s__GGB4172_SGB5654	2|67818|||||	73.55563	568220
ERS11453815	k__Bacteria|p__Proteobacteria|c__CFGB47313|o__OFGB47313|f__FGB47313|g__GGB58410|s__GGB58410_SGB80065	2|1224|||||	15.54043	158049
ERS11453815	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	2|201174|1760|85004|31953|1678|1681	9.14096	76624
ERS11453815	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__GGB38478|s__GGB38478_SGB55612	2|201174|1760|85007|1762||	1.14369	16556
ERS11453815	k__Bacteria|p__Actinobacteria|c__CFGB36138|o__OFGB36138|f__FGB36138|g__GGB36138|s__GGB36138_SGB55299	2|201174|||||	0.13315	1048
ERS11453815	k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__Nitrososphaerales_unclassified|s__Nitrososphaerales_archaeon_TH5894	2157|651137|1643678|1033996|||2721610	0.12623	1272
ERS11453815	k__Archaea|p__Euryarchaeota|c__CFGB10638|o__OFGB10638|f__FGB10638|g__GGB39579|s__GGB39579_SGB75387	2157|28890|||||	0.1258	785
ERS11453815	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales|f__Syntrophaceae|g__GGB74480|s__GGB74480_SGB37836	2|1224|28221|2914038|213468||	0.07998	1022
ERS11453815	k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__Nitrososphaerales_unclassified|s__Nitrososphaerales_archaeon_TH5888	2157|651137|1643678|1033996|||2721607	0.05159	372
ERS11453815	k__Bacteria|p__Proteobacteria|c__CFGB11088|o__OFGB11088|f__FGB11088|g__GGB33037|s__GGB33037_SGB24024	2|1224|||||	0.04359	440
ERS11453815	k__Bacteria|p__Atribacterota|c__Atribacterota_unclassified|o__Atribacterota_unclassified|f__Atribacterota_unclassified|g__Atribacterota_unclassified|s__Atribacteria_bacterium_SCGC_AAA252_M02	2|67818|||||913317	0.03539	440
ERS11453815	k__Bacteria|p__Planctomycetes|c__CFGB25759|o__OFGB25759|f__FGB25759|g__GGB45146|s__GGB45146_SGB62662	2|203682|||||	0.01227	219
ERS11453815	k__Bacteria|p__Atribacterota|c__Atribacterota_unclassified|o__Atribacterota_unclassified|f__Atribacterota_unclassified|g__Atribacterota_unclassified|s__Candidatus_Atribacteria_bacterium_RS_JS1	2|67818|||||1977312	0.01128	109
ERS11453816	k__Bacteria|p__Atribacterota|c__Atribacterota_unclassified|o__Atribacterota_unclassified|f__Atribacterota_unclassified|g__GGB4172|s__GGB4172_SGB5654	2|67818|||||	74.00176	36391
ERS11453816	k__Bacteria|p__Proteobacteria|c__CFGB47313|o__OFGB47313|f__FGB47313|g__GGB58410|s__GGB58410_SGB80065	2|1224|||||	13.96485	9041
ERS11453816	k__Bacteria|p__Caldiserica|c__CFGB26792|o__OFGB26792|f__FGB26792|g__GGB34634|s__GGB34634_SGB51827	2|67814|||||	4.37706	1482
ERS11453816	k__Bacteria|p__Proteobacteria|c__CFGB8510|o__OFGB8510|f__FGB8510|g__GGB63136|s__GGB63136_SGB85401	2|1224|||||	3.37219	2354
ERS11453816	k__Archaea|p__Euryarchaeota|c__CFGB10638|o__OFGB10638|f__FGB10638|g__GGB39579|s__GGB39579_SGB75387	2157|28890|||||	2.60878	1037
ERS11453816	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales|f__Syntrophaceae|g__GGB74480|s__GGB74480_SGB37836	2|1224|28221|2914038|213468||	0.83952	683
ERS11453816	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__GGB38478|s__GGB38478_SGB55612	2|201174|1760|85007|1762||	0.83585	770
ERS4181285	k__Bacteria|p__Firmicutes|c__CFGB76578|o__OFGB76578|f__FGB76578|g__GGB79648|s__GGB79648_SGB4350	2|1239|||||	7.93315	1100366
ERS4181285	k__Bacteria|p__Firmicutes|c__CFGB1327|o__OFGB1327|f__FGB1327|g__GGB3178|s__GGB3178_SGB4200	2|1239|||||	6.64824	1231166
ERS4181285	k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758|s__GGB9758_SGB15368	2|1239|||||	5.61705	1248792
ERS4181285	k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306	2|1239|||||	4.43932	678326
ERS4181285	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB4979|s__GGB4979_SGB6973	2|1239|909932|909929|1843491||	2.78826	429814
ERS4181285	k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062|f__FGB73062|g__GGB9059|s__GGB9059_SGB13976	2|1239|||||	2.14268	249965
